OTUs	"SRR17152824"	"SRR17152825"	"SRR17152826"	"SRR17152827"	"SRR17152828"	"SRR17152829"	"SRR17152830"	"SRR17152831"	"SRR17152832"	"SRR17152833"	"SRR17152834"	"SRR17152835"	"SRR17152836"	"SRR17152837"	"SRR17152838"	"SRR17152839"	"SRR17152840"	"SRR17152841"	"SRR17152842"	"SRR17152843"	"SRR17152844"	"SRR17152845"	"SRR17152846"	"SRR17152847"	"SRR17152848"	"SRR17152849"	"SRR17152850"	"SRR17152851"	"SRR17152852"	"SRR17152853"	"SRR17152854"	"SRR17152855"	"SRR17152856"	"SRR17152857"	"SRR17152858"	"SRR17152859"	"SRR17152860"	"SRR17152861"	"SRR17152862"	"SRR6927699"	"SRR6927700"	"SRR6927701"	"SRR6927702"	"SRR6927703"	"SRR6927704"	"SRR6927705"	"SRR6927706"	"SRR6927707"	"SRR6927708"	"SRR6927709"	"SRR6927710"	"SRR6927711"	"SRR6927712"	"SRR6927713"	"SRR6927714"	"SRR6927715"	"SRR6927716"	"SRR6927717"	"SRR6927718"	"SRR6927719"	"SRR6927720"	"SRR6927721"	"SRR6927722"	"SRR6927723"	"SRR6927724"	"SRR6927725"	"SRR6927726"	"SRR6927727"	"SRR6927728"
"OTU_41"	96	85	0	130	0	258	38	2141	933	312	118	60	48	0	0	239	68	433	249	2366	173	19	143	0	0	326	357	140	367	309	3596	582	827	168	113	303	0	1567	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_42"	105	72	0	154	38	307	51	1947	1109	216	97	43	0	0	0	236	65	429	274	2339	157	0	95	0	0	300	465	179	301	332	3282	578	769	169	126	315	0	1847	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_43"	84	47	0	126	0	212	30	2321	900	207	94	48	30	0	0	257	82	367	281	2250	142	6	51	0	0	189	390	116	386	230	3964	591	733	193	93	245	0	1391	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_44"	97	45	0	129	45	307	57	2200	977	170	74	26	0	0	0	262	51	398	263	2268	133	0	50	0	0	171	385	154	338	283	3846	528	650	180	79	260	0	1609	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_45"	0	76	0	0	0	0	23	0	0	0	0	0	0	0	0	54	61	0	0	403	82	0	0	53	0	0	0	0	175	43	0	0	0	0	0	0	0	0	0	379	574	499	0	463	498	335	0	481	598	2934	411	498	571	0	424	593	391	483	567	556	0	481	0	738	505	559	40	0	405
"OTU_46"	0	853	0	0	0	1887	0	0	0	3538	551	19	0	0	0	2220	167	795	502	0	0	29	0	30	0	291	0	1230	881	0	0	856	0	316	195	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_47"	0	55	0	0	0	0	36	0	0	0	0	0	0	0	0	65	35	0	0	375	91	0	0	78	0	0	0	0	130	73	0	0	28	0	0	0	0	0	0	394	551	478	0	410	472	334	0	460	545	2886	326	507	530	68	401	559	359	418	536	597	0	479	0	719	490	524	0	0	441
"OTU_48"	0	72	0	0	0	0	11	0	0	0	0	0	0	0	0	62	51	0	0	228	87	0	0	55	0	0	0	0	120	56	0	0	7	0	0	0	0	0	0	404	576	492	0	421	462	330	0	458	584	2924	375	529	555	0	437	559	346	389	600	605	0	463	0	750	470	516	0	0	429
"OTU_49"	0	764	0	0	0	1429	0	0	0	3981	520	36	0	0	0	1935	172	804	422	0	0	21	0	39	0	284	0	860	976	0	0	892	0	364	181	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_50"	0	25	0	0	0	0	16	0	0	0	0	0	0	0	0	37	37	0	0	185	58	0	0	64	0	0	0	0	143	29	0	0	0	0	0	0	0	0	0	365	526	448	0	380	439	306	0	463	547	2572	352	488	560	131	385	549	407	436	558	588	0	418	0	614	480	511	0	0	423
